tag,total,count,indicators,subfield,sample_bibs
040,44560409,18977245,__,d,4 5 6 7 7 7 7 8 9 10 907208 907208 907210 907225 907227 907227 907229 907229 907233 907238 1830114 1830114 1830115 1830115 1830116 1830116 1830117 1830118 1830119 1830120 2803250 2803250 2803250 2803251 2803251 2803251 2803252 2803252 2803253 2803253 3802855 3802855 3802856 3802861 3802862 3802862 3802862 3802862 3802862 3802862 4824457 4824459 4824460 4824460 4824461 4824462 4824462 4824463 4824463 4824464 6017135 6017137 6017139 6017139 6017141 6017141 6017141 6017141 6017141 6017144 7606591 7606591 7606591 7606591 7606671 7606671 7606671 7606671 7606685 7606685 9371072 9371072 9371072 9371072 9371072 9371072 9371072 9371072 9371072 9371073 11053154 11053154 11053154 11053154 11053154 11053220 11053359 11053359 11053428 11053430 12638375 12638375 12638375 12638375 12638375 12638375 12638458 12638458 12638458 12638458 14406918 14406918 14406918 14406918 14408892 14408892 14408892 14408892 14408892 14415729 15589732 15589732 15589732 15589733 15589733 15589733 15589736 15589736 15589736 15589736
040,44560409,10640730,__,c,2 3 4 5 6 7 8 9 10 11 907208 907209 907210 907211 907212 907213 907214 907215 907216 907217 1830114 1830115 1830116 1830117 1830118 1830119 1830120 1830121 1830122 1830123 2803250 2803251 2803252 2803253 2803254 2803255 2803256 2803257 2803258 2803259 3802853 3802854 3802855 3802856 3802857 3802858 3802861 3802862 3802863 3802864 4824457 4824458 4824459 4824460 4824461 4824462 4824463 4824464 4824465 4824466 6017135 6017136 6017137 6017138 6017139 6017140 6017141 6017142 6017143 6017144 7606182 7606183 7606184 7606185 7606186 7606187 7606188 7606189 7606190 7606191 9371072 9371073 9371074 9371075 9371076 9371077 9371078 9371079 9371080 9371081 11053101 11053102 11053103 11053104 11053105 11053106 11053107 11053108 11053109 11053110 12638375 12638398 12638458 12638470 12638474 12638486 12638517 12638518 12638521 12638569 14406918 14408892 14415729 14415730 14415732 14415735 14415736 14415737 14415738 14415740 15589732 15589733 15589734 15589735 15589736 15589737 15589738 15589739 15589740 15589741
040,44560409,10588755,__,a,2 3 4 5 6 7 8 9 10 11 907208 907209 907212 907213 907214 907215 907216 907217 907218 907219 1830114 1830115 1830116 1830117 1830118 1830119 1830120 1830121 1830122 1830123 2803250 2803251 2803252 2803253 2803254 2803255 2803256 2803257 2803258 2803259 3802853 3802854 3802855 3802856 3802857 3802858 3802861 3802862 3802863 3802864 4824457 4824458 4824459 4824460 4824461 4824462 4824463 4824464 4824465 4824466 6017135 6017136 6017137 6017138 6017139 6017140 6017141 6017142 6017143 6017144 7606182 7606183 7606184 7606185 7606186 7606187 7606188 7606189 7606190 7606191 9371072 9371073 9371074 9371075 9371076 9371077 9371078 9371079 9371080 9371081 11053101 11053102 11053103 11053104 11053105 11053106 11053107 11053108 11053109 11053110 12638375 12638398 12638458 12638470 12638474 12638486 12638517 12638518 12638521 12638569 14406410 14406411 14406412 14406413 14406414 14406415 14406416 14406417 14406418 14406419 15589732 15589733 15589734 15589735 15589736 15589737 15589738 15589739 15589740 15589741
040,44560409,2638773,__,b,3 24 230 242 454 477 551 688 690 693 907248 907256 907260 907268 907348 907352 907363 907388 907409 907510 1830115 1830125 1830268 1830331 1830601 1830624 1830642 1830785 1830788 1831296 2803536 2803544 2803572 2803650 2803880 2804072 2804451 2804635 2805034 2805040 3802858 3803057 3803114 3803227 3803233 3803247 3803252 3803263 3803274 3803286 4824501 4824512 4824628 4824656 4824663 4824705 4824786 4824841 4824847 4825013 6017173 6017190 6017202 6017239 6017271 6017278 6017285 6017298 6017364 6017376 7607545 7611248 7611253 7611264 7611285 7611331 7611422 7611439 7611440 7611464 9371147 9371205 9371281 9371325 9371327 9371329 9371333 9371338 9371365 9371391 11053101 11053102 11053103 11053104 11053105 11053106 11053107 11053108 11053109 11053110 12638375 12638398 12638458 12638470 12638474 12638486 12638517 12638518 12638521 12638569 14406410 14406411 14406412 14406413 14406414 14406415 14406416 14406417 14406418 14406419 15589732 15589733 15589734 15589735 15589736 15589737 15589738 15589739 15589740 15589741
040,44560409,1714449,__,e,693 2153 2848 2848 3242 4166 4365 4583 4583 5027 909399 909399 909836 909852 909999 910034 910126 910130 910131 910137 1830583 1831125 1831573 1831724 1831863 1832220 1832293 1832317 1832323 1832326 2804010 2804451 2804617 2804618 2805070 2805630 2805774 2806024 2806126 2806157 3802858 3802863 3802908 3802912 3802919 3802920 3802924 3803345 3803359 3803382 4824466 4824786 4824893 4824950 4824966 4825027 4825032 4825060 4825237 4825338 6017239 6017285 6017376 6017458 6017487 6017571 6017643 6017680 6018047 6018291 7611285 7611422 7611439 7612961 7612961 7619300 7620093 7620110 7620128 7620147 9371333 9371478 9371494 9371504 9371620 9371627 9371636 9371655 9371688 9372237 11053101 11053102 11053103 11053104 11053105 11053106 11053107 11053108 11053109 11053110 12638375 12638398 12638458 12638470 12638474 12638486 12638517 12638518 12638521 12638569 14406918 14415732 14415737 14415738 14415738 14415740 14415743 14415747 14415750 14415754 15589732 15589733 15589734 15589735 15589736 15589737 15589738 15589739 15589740 15589741
040,44560409,362,NA,NA,3931 282176 469239 479752 869346 1172790 1226334 1238334 1249596 1251268 1254038 1326425 1340826 1751364 3003416 3016145 3051027 3438896 3511483 3683463 3686561 3786290 3796886 3889030 3913525 3951575 4026506 4054552 4057330 4215149 4250392 4355368 4363959 4824663 4842332 4857731 4858284 4870765 4888317 4906644 4912668 4922998 4927981 6017564 6019349 6020013 6020312 6037096 6040586 6047450 6047450 6048882 6062597 7636660 7771615 7771615 7869018 7884506 7902925 8175632 8187613 8190639 8269962 9458036 9463367 9587148 9602040 9630529 9648924 9662163 9664129 9680315 9752172 11091528 11091956 11285694 11332490 11365749 11624805 11647534 11699271 11722917 11767140 12679470 12697971 12698705 12698706 12698706 12698711 12698715 12700059 12701623 12701817
040,44560409,23,__,C,5536480 6112394 6606885 6921564 7946635 7966671 8075844 8799122 8803373 8985206 9059373 9426635 10080479 10482878 11105920 11670310 12431643 12439142 12486060 12534370 13263674 15591303 15662566
040,44560409,20,__,D,1852680 2917560 5208814 5208822 5209073 5209088 5209096 5719551 6799235 7210106 7484240 8159564 8860568 10431628 10571194 12292343 12293888 13693612 14106076 14637157
040,44560409,12,1_,d,5208934 5209011 5211035 5211125 5211895 5212036 5212069 5212136 5212306 5213002
040,44560409,6,__,9,2094800 3322523 4416783 6829881 9338574 12907834
